CodDisciplina,Tipo,Turma,Horarios,Sala,Periodo,NomeDisciplina,CargaSemanal,CargaTotal,Dependencias,Oferecida,CodDisc,Depen
SIN 321,T,2,3=21|6=19,PVA212|PVA212,5,Engenharia de Software II,4(4-0),60,SIN 221,S,SIN321,SIN221
SIN 351,T,1,3=14|5=16,PVA107|PVA209,5,Sistemas Operacionais,4(4-0),60,SIN 211,S,SIN351,SIN211
SIN 351,T,2,3=19|5=21,PVA228|PVA228,5,Sistemas Operacionais,4(4-0),60,SIN 211,S,SIN351,SIN211
SIN 142,T,1,3=16|6=14,PVA209|PVA209,7,Sistemas Distribuídos,4(4-0),60,SIN 351,S,SIN142,SIN351
SIN 142,T,2,3=21|6=19,PVA114|PVA114,7,Sistemas Distribuídos,4(4-0),60,SIN 351,S,SIN142,SIN351
SIN 392,T,1,3=14|5=16,PVA106|PVA227,7,Introdução ao Processamento Digital de Imagens,4(4-0),60,CRP 199|SIN 110,S,SIN392,CRP199|SIN110
SIN 392,T,2,3=19|5=21,PVA229|PVA229,7,Introdução ao Processamento Digital de Imagens,4(4-0),60,CRP 199|SIN 110,S,SIN392,CRP199|SIN110
SIN 498,P,1,A combinar,,7,Trabalho de Conclusão de Curso I,0(0-14),210,SIN 100,S,SIN498,SIN100
CIC 100,T,1,3=16|6=14,PVA212|PVA101,8,Contabilidade Geral,4(4-0),60,,S,CIC100,
CIC 100,T,2,3=21|6=19,PVA214|PVA214,8,Contabilidade Geral,4(4-0),60,,S,CIC100,
SIN 496,P,1,A combinar,,8,Atividades Complementares,0(0-14),210,,S,SIN496,
SIN 499,P,1,A combinar,,8,Trabalho de Conclusão de Curso II,14(0-14),210,SIN 498,S,SIN499,SIN498
CRP 291,T,1,4=19|6=21,PVA107|PVA107,OPT,Inglês I,4(4-0),60,,S,CRP291,
FRP 310,P,1,4=14,PVA227,OPT,Instrumentação para ensino e automação,0(0-4),60,,S,FRP310,
SIN 343,P,1,5=21,PVA230,OPT,Desafios de Programação,4(2-2),60,SIN 213,S,SIN343,SIN213
SIN 343,T,1,3=19,PVA230,OPT,Desafios de Programação,4(2-2),60,SIN 213,S,SIN343,SIN213
SIN 394,T,1,3=10|6=10,PVA227|PVA230,OPT,Introdução aos Jogos Digitais,4(4-0),60,SIN 211,S,SIN394,SIN211
SIN 420,T,1,2=19|4=21,PVA230|PVA230,OPT,Bancos de Dados Geográficos,4(4-0),60,SIN 320,S,SIN420,SIN320
SIN 422,T,1,3=08|5=10,PVA202|PVA202,OPT,Qualidade de Software,4(4-0),60,,S,SIN422,
